"","gamma1","gamma2","dgamma","sbs","nchains","est","var","sample_var","mse"
"134",1.5,0.5,-1,10,2,0,0,0,2.59440318761643e-18
"135",1.5,0.5,-1,10,5,1.87777911700564e-12,7.97137759124385e-23,7.76254419784422e-23,2.58843365218429e-18
"136",1.5,0.5,-1,10,10,2.99543819035204e-13,4.49279462990965e-24,4.48632497610974e-24,2.59344271442645e-18
"137",1.5,0.5,-1,50,1,1.66008794727999e-09,1.62970693608452e-19,4.68542814848589e-19,4.61609634937288e-19
"138",1.5,0.5,-1,50,2,3.05212982986644e-11,1.53641509889105e-21,1.07364634714968e-21,2.498064677576e-18
"139",1.5,0.5,-1,50,5,1.6843877611006e-10,1.19601750744978e-20,1.51219106630402e-20,2.09498051547871e-18
"140",1.5,0.5,-1,50,10,9.86938829470159e-11,4.81682292239128e-21,6.03032472810545e-21,2.29211792997637e-18
"141",1.5,0.5,-1,100,1,1.7332552854432e-09,1.74762157933667e-19,3.62595195819e-19,3.70359384823956e-19
"142",1.5,0.5,-1,100,2,2.42247742563143e-10,1.69832357565381e-20,1.87209733943461e-20,1.89104950838626e-18
"143",1.5,0.5,-1,100,5,5.63656888092002e-10,5.24786044922417e-20,1.00190673763485e-19,1.19451779467681e-18
"144",1.5,0.5,-1,100,10,4.27542532920867e-10,3.59176529290055e-20,6.1267472784877e-20,1.45993948666672e-18
"145",1.5,1,-0.5,1,1,1.48876802794211e-09,1.44826369916895e-19,3.80183977896714e-19,3.87451390829414e-19
"146",1.5,1,-0.5,1,2,1.46106906162539e-11,1.68508140586459e-22,2.06059098680833e-22,2.54775127732728e-18
"147",1.5,1,-0.5,1,5,1.36561392473145e-12,9.14329082143642e-24,7.41349288890899e-24,2.59001308775619e-18
"148",1.5,1,-0.5,1,10,7.36570310801059e-12,4.16606878705999e-23,5.22615848173064e-23,2.57078055886737e-18
"149",1.5,1,-0.5,10,1,1.58489711337424e-09,1.5802835739361e-19,4.35209497230191e-19,4.27171876588538e-19
"150",1.5,1,-0.5,10,2,2.49212688300121e-11,6.40914885492044e-22,7.27275368714782e-22,2.51545485824721e-18
"151",1.5,1,-0.5,10,5,2.27557194955765e-11,1.20984464174908e-21,1.43857838779897e-21,2.52302485443405e-18
"152",1.5,1,-0.5,10,10,4.26177227666845e-11,1.47498606004632e-21,1.9555859925436e-21,2.46084591157176e-18
"153",1.5,1,-0.5,50,1,1.66008794727999e-09,1.62970693608452e-19,4.68542814848589e-19,4.61609634937288e-19
"154",1.5,1,-0.5,50,2,1.6811063015064e-10,1.00608542023752e-20,1.37606784365239e-20,2.09459316988365e-18
"155",1.5,1,-0.5,50,5,3.97737865554625e-10,3.04150745679952e-20,5.19660142711686e-20,1.52224050612122e-18
"156",1.5,1,-0.5,50,10,3.03615404557094e-10,1.88426579670136e-20,3.36086629527754e-20,1.7414461475434e-18
"157",1.5,1,-0.5,100,1,1.7332552854432e-09,1.74762157933667e-19,3.62595195819e-19,3.70359384823956e-19
"158",1.5,1,-0.5,100,2,4.81386512067705e-10,3.50384439399791e-20,4.00887457461072e-20,1.3146700683878e-18
"159",1.5,1,-0.5,100,5,7.86325167878023e-10,7.13901711120275e-20,1.36634337533839e-19,8.13520438732455e-19
"160",1.5,1,-0.5,100,10,7.49547113500296e-10,6.74140179184588e-20,8.95468888001887e-20,8.2936628100003e-19
"161",1.5,1.5,0,1,1,1.48876802794211e-09,1.44826369916895e-19,3.80183977896714e-19,3.87451390829414e-19
"162",1.5,1.5,0,1,2,1.82733864441912e-09,1.01366816815121e-19,3.44350864120188e-19,3.84389599538669e-19
"163",1.5,1.5,0,1,5,1.52108279266661e-09,3.63114883135509e-20,2.68364144556868e-19,2.71030815202428e-19
"164",1.5,1.5,0,1,10,1.58985667638473e-09,2.17457597337478e-20,2.49202656874729e-19,2.44653678275454e-19
"165",1.5,1.5,0,10,1,1.58489711337424e-09,1.5802835739361e-19,4.35209497230191e-19,4.27171876588538e-19
"166",1.5,1.5,0,10,2,1.69807981619381e-09,1.02358281971251e-19,4.42065050691787e-19,4.40856340371158e-19
"167",1.5,1.5,0,10,5,1.60440992236734e-09,8.04960892893308e-20,6.71280268307816e-19,6.57894418418996e-19
"168",1.5,1.5,0,10,10,1.67218062925961e-09,6.32345486477217e-20,5.36832481036642e-19,5.29873840632932e-19
"169",1.5,1.5,0,50,1,1.66008794727999e-09,1.62970693608452e-19,4.68542814848589e-19,4.61609634937288e-19
"170",1.5,1.5,0,50,2,1.76993803299691e-09,1.50997895372627e-19,5.19501619902783e-19,5.34463524534282e-19
"171",1.5,1.5,0,50,5,1.79295088846347e-09,1.51718784846162e-19,4.46533895781794e-19,4.70813094325412e-19
"172",1.5,1.5,0,50,10,1.48156500741729e-09,1.01592787570203e-19,4.23972201977351e-19,4.32172508701664e-19
"173",1.5,1.5,0,100,1,1.7332552854432e-09,1.74762157933667e-19,3.62595195819e-19,3.70359384823956e-19
"174",1.5,1.5,0,100,2,1.77507080801817e-09,1.57014586779513e-19,3.14420536926969e-19,3.3514491941113e-19
"175",1.5,1.5,0,100,5,1.86866924308793e-09,1.83481603002637e-19,6.42598842200102e-19,6.9628719660451e-19
"176",1.5,1.5,0,100,10,1.77639054408537e-09,1.72246537553382e-19,3.89652241412759e-19,4.09307543777488e-19
"177",1.5,2,0.5,1,1,1.48876802794211e-09,1.44826369916895e-19,3.80183977896714e-19,3.87451390829414e-19
"178",1.5,2,0.5,1,2,6.6406323022294e-09,6.71034967928943e-19,4.74567228508686e-18,2.99508257312622e-17
"179",1.5,2,0.5,1,5,1.24964998118197e-08,7.78877446912719e-19,1.65466058592437e-17,1.34715982167516e-16
"180",1.5,2,0.5,1,10,1.18999136103379e-08,4.4971626209988e-19,1.18447202683122e-17,1.17475431501548e-16
"181",1.5,2,0.5,10,1,1.58489711337424e-09,1.5802835739361e-19,4.35209497230191e-19,4.27171876588538e-19
"182",1.5,2,0.5,10,2,6.31971412678017e-09,6.26277344700202e-19,4.36839408687641e-18,2.64556978807577e-17
"183",1.5,2,0.5,10,5,9.56667661118061e-09,8.07322848475622e-19,2.0667740390145e-17,8.35517088817749e-17
"184",1.5,2,0.5,10,10,9.45515317201116e-09,6.85912322522754e-19,1.44914540651169e-17,7.57368333852342e-17
"185",1.5,2,0.5,50,1,1.66008794727999e-09,1.62970693608452e-19,4.68542814848589e-19,4.61609634937288e-19
"186",1.5,2,0.5,50,2,5.91184492269152e-09,5.65938000986272e-19,3.99761919371819e-18,2.24173844166294e-17
"187",1.5,2,0.5,50,5,6.61902058982262e-09,6.3113553157398e-19,3.84338373573664e-18,2.8849639771731e-17
"188",1.5,2,0.5,50,10,5.30880531828835e-09,4.94222985940665e-19,5.62082640135596e-18,1.91842810113782e-17
"189",1.5,2,0.5,100,1,1.7332552854432e-09,1.74762157933667e-19,3.62595195819e-19,3.70359384823956e-19
"190",1.5,2,0.5,100,2,5.64709359754273e-09,5.67873118247625e-19,2.9565725673425e-18,1.91897923554769e-17
"191",1.5,2,0.5,100,5,4.96492296547953e-09,5.16546978679737e-19,3.29333680884801e-18,1.4478180364547e-17
"192",1.5,2,0.5,100,10,4.60802455668362e-09,4.74957570988455e-19,2.53586510942706e-18,1.1469011685415e-17
"193",2,0.5,-1.5,1,1,1.92179905725877e-09,6.82331741386439e-20,4.49812257584501e-18,4.50493334231467e-18
"194",2,0.5,-1.5,1,2,0,0,0,2.59440318761643e-18
"195",2,0.5,-1.5,1,5,0,0,0,2.59440318761643e-18
"196",2,0.5,-1.5,1,10,0,0,0,2.59440318761643e-18
"197",2,0.5,-1.5,10,1,1.84701252406759e-09,6.76044925211796e-20,4.60471996587376e-18,4.56846203121883e-18
"198",2,0.5,-1.5,10,2,7.80544425879326e-15,3.05064094687295e-27,3.04624800385643e-27,2.59437804596856e-18
"199",2,0.5,-1.5,10,5,3.49810529436273e-13,2.49276129707242e-24,2.41510642644315e-24,2.59327878657255e-18
"200",2,0.5,-1.5,10,10,5.08420818537018e-13,4.90825128837395e-24,5.60772466892645e-24,2.59277109948207e-18
"201",2,0.5,-1.5,50,1,1.67518839178947e-09,5.41147922488185e-20,4.04385463068932e-18,3.96713434125826e-18
"202",2,0.5,-1.5,50,2,1.97664812658643e-11,2.67467622091775e-22,6.13268698502887e-22,2.53171856435928e-18
"203",2,0.5,-1.5,50,5,1.37860935433762e-10,3.22605309672058e-21,3.06958161938812e-20,2.19938133955542e-18
"204",2,0.5,-1.5,50,10,7.35023069606502e-11,1.23209758243153e-21,9.60168695128128e-21,2.37243287606898e-18
"205",2,0.5,-1.5,100,1,1.99689081303286e-09,6.02654844524792e-20,3.65810527093404e-18,3.73407483384551e-18
"206",2,0.5,-1.5,100,2,1.33723778690286e-10,1.9969703558181e-21,2.20281445407367e-20,2.20309099461878e-18
"207",2,0.5,-1.5,100,5,4.92847124820619e-10,1.34620747382339e-20,2.71707216306112e-19,1.51590191956111e-18
"208",2,0.5,-1.5,100,10,4.71907124707975e-10,1.62160733656966e-20,3.50594336799146e-19,1.64046609300661e-18
"209",2,1,-1,1,1,1.92179905725877e-09,6.82331741386439e-20,4.49812257584501e-18,4.50493334231467e-18
"210",2,1,-1,1,2,6.71246009626239e-13,8.34679676462803e-25,9.93020465349374e-25,2.59224223915805e-18
"211",2,1,-1,1,5,0,0,0,2.59440318761643e-18
"212",2,1,-1,1,10,9.60389066382158e-14,1.041795635604e-25,9.67408905263235e-26,2.59409390900852e-18
"213",2,1,-1,10,1,1.84701252406759e-09,6.76044925211796e-20,4.60471996587376e-18,4.56846203121883e-18
"214",2,1,-1,10,2,2.6895307019992e-12,1.1658976361862e-23,1.77014790709949e-23,2.58576363312349e-18
"215",2,1,-1,10,5,3.01584998481404e-12,1.17784006539348e-23,2.62391485352739e-23,2.5847226470118e-18
"216",2,1,-1,10,10,6.32350933641017e-12,3.44097050153247e-23,9.86452430422008e-23,2.57416910256567e-18
"217",2,1,-1,50,1,1.67518839178947e-09,5.41147922488185e-20,4.04385463068932e-18,3.96713434125826e-18
"218",2,1,-1,50,2,9.0411996283296e-11,1.21254588899408e-21,8.23065310456783e-21,2.31938761841649e-18
"219",2,1,-1,50,5,2.43146764794232e-10,5.6964261596531e-21,8.97937609439557e-20,1.95824108324186e-18
"220",2,1,-1,50,10,1.49040336920211e-10,2.20943872423136e-21,3.08396360883061e-20,2.16671600561968e-18
"221",2,1,-1,100,1,1.99689081303286e-09,6.02654844524792e-20,3.65810527093404e-18,3.73407483384551e-18
"222",2,1,-1,100,2,2.73439170780604e-10,4.37770977555715e-21,7.25496152069284e-20,1.85940557881146e-18
"223",2,1,-1,100,5,6.88994750506889e-10,2.06680780678568e-20,5.77160874448673e-19,1.41518609067268e-18
"224",2,1,-1,100,10,6.97683272173215e-10,2.23774387396911e-20,6.77429908119232e-19,1.49750845933222e-18
"225",2,1.5,-0.5,1,1,1.92179905725877e-09,6.82331741386439e-20,4.49812257584501e-18,4.50493334231467e-18
"226",2,1.5,-0.5,1,2,8.89330861664687e-11,5.02353719618937e-22,7.70371826416308e-21,2.3233701927793e-18
"227",2,1.5,-0.5,1,5,1.89821545084001e-11,3.58443139956764e-23,4.53991946272207e-22,2.53405873547982e-18
"228",2,1.5,-0.5,1,10,6.33896326223606e-11,1.07412724578482e-22,4.23334681008426e-21,2.39836483398279e-18
"229",2,1.5,-0.5,10,1,1.84701252406759e-09,6.76044925211796e-20,4.60471996587376e-18,4.56846203121883e-18
"230",2,1.5,-0.5,10,2,1.03770010420386e-10,8.31010112670087e-22,1.40679899535639e-20,2.28467018391608e-18
"231",2,1.5,-0.5,10,5,7.99106003116396e-11,7.38143000283678e-22,1.10917503502656e-20,2.35423238316645e-18
"232",2,1.5,-0.5,10,10,1.33432542989729e-10,1.02619255577532e-21,2.10731803323959e-20,2.203015519727e-18
"233",2,1.5,-0.5,50,1,1.67518839178947e-09,5.41147922488185e-20,4.04385463068932e-18,3.96713434125826e-18
"234",2,1.5,-0.5,50,2,4.16935060723351e-10,8.13599199246863e-21,1.6861914660863e-19,1.59035758605798e-18
"235",2,1.5,-0.5,50,5,5.27774729651559e-10,1.17652330368442e-20,4.52882125527771e-19,1.61658436522075e-18
"236",2,1.5,-0.5,50,10,4.14092101876552e-10,7.00891629883098e-21,2.6039345920128e-19,1.68709222995712e-18
"237",2,1.5,-0.5,100,1,1.99689081303286e-09,6.02654844524792e-20,3.65810527093404e-18,3.73407483384551e-18
"238",2,1.5,-0.5,100,2,6.30863349972419e-10,1.25347174396832e-20,3.76497408498733e-19,1.329076945362e-18
"239",2,1.5,-0.5,100,5,1.06854558724235e-09,3.31956156627231e-20,1.41965517022006e-18,1.68520986563963e-18
"240",2,1.5,-0.5,100,10,1.10976850196614e-09,3.577153417879e-20,1.72504135169604e-18,1.94148803561555e-18
"241",2,2,0,1,1,1.92179905725877e-09,6.82331741386439e-20,4.49812257584501e-18,4.50493334231467e-18
"242",2,2,0,1,2,1.90549559133887e-09,3.04621428533287e-20,3.79314470413969e-18,3.80417733820277e-18
"243",2,2,0,1,5,1.5233756532786e-09,9.08871180381875e-21,2.66395652651783e-18,2.61830557788264e-18
"244",2,2,0,1,10,2.04417520065879e-09,8.24155241026236e-21,4.2960550596051e-18,4.39802160267732e-18
"245",2,2,0,10,1,1.84701252406759e-09,6.76044925211796e-20,4.60471996587376e-18,4.56846203121883e-18
"246",2,2,0,10,2,1.49470729238504e-09,2.08933968606142e-20,2.64833108124901e-18,2.60882227495877e-18
"247",2,2,0,10,5,1.47598464564361e-09,1.79967508074174e-20,3.62643400246358e-18,3.57205762228307e-18
"248",2,2,0,10,10,1.80456798887392e-09,1.68773272464725e-20,4.03088587514601e-18,3.98784709363894e-18
"249",2,2,0,50,1,1.67518839178947e-09,5.41147922488185e-20,4.04385463068932e-18,3.96713434125826e-18
"250",2,2,0,50,2,2.32714155951751e-09,5.74098711794574e-20,5.14175594350968e-18,5.55218767240724e-18
"251",2,2,0,50,5,1.90892202033748e-09,5.21072564092929e-20,5.68374761166747e-18,5.65900001672776e-18
"252",2,2,0,50,10,1.53449667052053e-09,3.00550461083446e-20,3.52563306453822e-18,3.46092965480679e-18
"253",2,2,0,100,1,1.99689081303286e-09,6.02654844524792e-20,3.65810527093404e-18,3.73407483384551e-18
"254",2,2,0,100,2,1.83979393101342e-09,3.87428564073777e-20,3.2156885468385e-18,3.2038518790049e-18
"255",2,2,0,100,5,2.1698151149766e-09,6.53376833747179e-20,5.70796912373665e-18,5.90640254917842e-18
"256",2,2,0,100,10,2.45663984315083e-09,8.44790858453637e-20,8.45561478698826e-18,9.00209113383279e-18
